Filename,Additional Info,Target Directory
TRT00003108,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00003110,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00003111,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00003112,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00003115,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00002306,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00002350,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00027342,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00027343,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
TRT00027344,C. intersubgeneric hybrid|C. nothosect. Coccitaegus K.I. Chr. & T.A. Dickinson|C. nothoser. Punctaegus K.I. Chr. & T.A. Dickinson,Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson (= Crataegus monogyna Jacq. × C. punctata Jacq.)
